latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-22.26026,-63.48953,295.63,0.49,0.4,2025-11-01,0512,N,VIIRS,n,2.0NRT,282.25,1.6,N
-22.25743,-63.48403,321.82,0.49,0.4,2025-11-01,0512,N,VIIRS,n,2.0NRT,284.21,1.6,N
-22.26113,-63.48482,311.33,0.49,0.4,2025-11-01,0512,N,VIIRS,n,2.0NRT,283.26,1.6,N
-22.80914,-63.50141,303.61,0.48,0.4,2025-11-01,0512,N,VIIRS,n,2.0NRT,287.3,0.77,N
-25.02645,-65.8018,305.26,0.39,0.44,2025-11-01,0514,N,VIIRS,n,2.0NRT,277.12,2.49,N
-23.39375,-64.3381,306.56,0.52,0.41,2025-11-01,0514,N,VIIRS,n,2.0NRT,280.48,0.9,N
-25.02902,-65.78867,297.98,0.39,0.44,2025-11-01,0514,N,VIIRS,n,2.0NRT,279.18,0.66,N
-25.0305,-65.80247,322.5,0.39,0.44,2025-11-01,0514,N,VIIRS,n,2.0NRT,278.44,2.17,N
-25.03185,-65.79555,327.04,0.39,0.44,2025-11-01,0514,N,VIIRS,n,2.0NRT,280.14,1.7,N
-24.09391,-64.7995,297.52,0.53,0.42,2025-11-01,0514,N,VIIRS,n,2.0NRT,286.11,0.79,N
-25.03118,-65.79899,308.45,0.39,0.44,2025-11-01,0514,N,VIIRS,n,2.0NRT,277.72,2.17,N
-25.0325,-65.79225,303.8,0.39,0.44,2025-11-01,0514,N,VIIRS,n,2.0NRT,279.15,1.7,N
-25.25159,-64.70683,306.15,0.51,0.41,2025-11-01,0514,N,VIIRS,n,2.0NRT,285.9,0.96,N
-24.09005,-64.79863,300.24,0.53,0.42,2025-11-01,0514,N,VIIRS,n,2.0NRT,287.64,1.06,N
-25.26739,-64.643,301.53,0.5,0.41,2025-11-01,0514,N,VIIRS,n,2.0NRT,286.42,0.92,N
-25.27674,-64.63477,306.85,0.5,0.41,2025-11-01,0514,N,VIIRS,n,2.0NRT,286.74,1.52,N
-25.27947,-64.62005,307.63,0.5,0.41,2025-11-01,0514,N,VIIRS,n,2.0NRT,286.99,1.46,N
-25.28504,-64.61106,330.46,0.5,0.41,2025-11-01,0514,N,VIIRS,n,2.0NRT,290.16,2.94,N
-25.28596,-64.60612,329.68,0.5,0.41,2025-11-01,0514,N,VIIRS,n,2.0NRT,289.04,3.18,N
-25.2805,-64.6356,311.74,0.5,0.41,2025-11-01,0514,N,VIIRS,n,2.0NRT,287.23,1.52,N
-25.28413,-64.61598,299.62,0.5,0.41,2025-11-01,0514,N,VIIRS,n,2.0NRT,286.89,2.94,N
-25.2897,-64.60699,309.8,0.5,0.41,2025-11-01,0514,N,VIIRS,n,2.0NRT,287.16,1.67,N
-25.28908,-64.60896,317.99,0.5,0.41,2025-11-01,0514,N,VIIRS,n,2.0NRT,287.27,2.85,N
-25.95308,-61.61801,309.1,0.39,0.36,2025-11-01,0514,N,VIIRS,n,2.0NRT,290.82,1.01,N
-25.54414,-64.9111,307.95,0.51,0.41,2025-11-01,0514,N,VIIRS,n,2.0NRT,286.81,1.9,N
-25.54604,-64.90096,296.5,0.51,0.41,2025-11-01,0514,N,VIIRS,n,2.0NRT,285.76,2.97,N
-25.54982,-64.90184,327.82,0.51,0.41,2025-11-01,0514,N,VIIRS,n,2.0NRT,288.54,2.97,N
-25.54887,-64.90691,297.84,0.51,0.41,2025-11-01,0514,N,VIIRS,n,2.0NRT,286.69,2.97,N
-25.61971,-64.87727,342.24,0.51,0.41,2025-11-01,0514,N,VIIRS,n,2.0NRT,291.08,3.23,N
