latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-34.69958,-58.97041,298.34,0.56,0.43,2026-01-25,0522,N,VIIRS,n,2.0NRT,267.73,0.66,N
-33.2589,-60.28627,313.18,0.47,0.4,2026-01-25,0522,N,VIIRS,n,2.0NRT,294.19,2.01,N
-34.70358,-58.97106,313.92,0.56,0.43,2026-01-25,0522,N,VIIRS,n,2.0NRT,267.17,1.17,N
-34.79192,-58.4521,306.89,0.39,0.44,2026-01-25,0522,N,VIIRS,n,2.0NRT,269.69,1.3,N
-34.85792,-57.89405,319.74,0.42,0.45,2026-01-25,0522,N,VIIRS,n,2.0NRT,281.28,1.83,N
-33.25703,-60.28765,331.01,0.47,0.4,2026-01-25,0522,N,VIIRS,n,2.0NRT,295.59,2.98,N
-33.25766,-60.28255,316.27,0.47,0.4,2026-01-25,0522,N,VIIRS,n,2.0NRT,294.11,2.98,N
-33.36185,-60.14361,306.85,0.48,0.4,2026-01-25,0522,N,VIIRS,n,2.0NRT,294.59,2.51,N
-33.3673,-60.16049,331.71,0.47,0.4,2026-01-25,0522,N,VIIRS,n,2.0NRT,295.02,3.01,N
-33.371,-60.16116,317.35,0.47,0.4,2026-01-25,0522,N,VIIRS,n,2.0NRT,294.48,3.01,N
-33.37667,-60.1463,332.74,0.48,0.4,2026-01-25,0522,N,VIIRS,n,2.0NRT,294.9,10.89,N
-33.25588,-60.28048,310.2,0.47,0.4,2026-01-25,0522,N,VIIRS,n,2.0NRT,294.12,2.09,N
-33.37728,-60.14775,335.43,0.48,0.4,2026-01-25,0522,N,VIIRS,n,2.0NRT,293.74,10.99,N
-34.1467,-58.98777,316.43,0.55,0.42,2026-01-25,0522,N,VIIRS,n,2.0NRT,283.34,2.14,N
-34.15067,-58.98843,308.03,0.55,0.42,2026-01-25,0522,N,VIIRS,n,2.0NRT,285.24,1.65,N
